iter	MultiClass
0	6.078499681
1	5.991063457
2	5.898436836
3	5.805732488
4	5.71586283
5	5.62408987
6	5.532086721
7	5.512167836
8	5.427746333
9	5.341576982
10	5.249282526
11	5.163128455
12	5.075176711
13	4.985614636
14	4.897878136
15	4.815641276
16	4.731967474
17	4.659392605
18	4.578722895
19	4.490716013
20	4.405220291
21	4.321987604
22	4.242016103
23	4.160837851
24	4.080592315
25	4.000783907
26	3.92555106
27	3.853826863
28	3.78186849
29	3.706980097
30	3.638270621
31	3.56151314
32	3.485903951
33	3.418529775
34	3.344406688
35	3.273593617
36	3.204086283
37	3.137964365
38	3.070921025
39	3.003936477
40	2.938349011
41	2.873790258
42	2.808018774
43	2.746207682
44	2.685155087
45	2.624164939
46	2.56393661
47	2.506789601
48	2.453868051
49	2.398626501
50	2.344601835
51	2.286110558
52	2.232852526
53	2.184216226
54	2.139685972
55	2.090546609
56	2.041986873
57	1.998731963
58	1.953124336
59	1.905650112
60	1.865799386
61	1.824355103
62	1.780933448
63	1.739331885
64	1.699849031
65	1.662564938
66	1.62503305
67	1.587419948
68	1.549142518
69	1.512732681
70	1.47774351
71	1.441362238
72	1.409605356
73	1.376120223
74	1.346245549
75	1.319773065
76	1.2882575
77	1.259192725
78	1.230581021
79	1.206641206
80	1.182599417
81	1.156946382
82	1.133891535
83	1.111985229
84	1.087961874
85	1.066268319
86	1.045127402
87	1.023450787
88	1.002053439
89	0.9796275444
90	0.9594051439
91	0.939434939
92	0.919377458
93	0.9007291833
94	0.8868972882
95	0.8703260357
96	0.8527478276
97	0.8410119712
98	0.8243639057
99	0.8103903427
100	0.7959870423
101	0.7798956008
102	0.7665597929
103	0.7521820691
104	0.7400185514
105	0.7261154901
106	0.7106712705
107	0.6970821043
108	0.6822898398
109	0.6719192193
110	0.6604899089
111	0.6468280403
112	0.6359651527
113	0.6251958938
114	0.6135459018
115	0.6039319927
116	0.5924447611
117	0.5814999535
118	0.5731664541
119	0.5627827962
120	0.5550373519
121	0.545502747
122	0.5350832569
123	0.5266289328
124	0.5196964186
125	0.5100889868
126	0.5021012702
127	0.4933021597
128	0.4846943343
129	0.4783157037
130	0.4693422071
131	0.4625551392
132	0.4569905599
133	0.4498144863
134	0.4418239879
135	0.4380294281
136	0.4318165059
137	0.4240353539
138	0.4188095819
139	0.4119871386
140	0.4075712243
141	0.4008265904
142	0.3948675662
143	0.3887315815
144	0.3828893545
145	0.376542238
146	0.3715528838
147	0.3665649414
148	0.3604531217
149	0.3545811244
150	0.3506109744
151	0.3466603389
152	0.341096673
153	0.3361990585
154	0.3324092112
155	0.3300631569
156	0.3262109458
157	0.3220618008
158	0.3172842013
159	0.3124602649
160	0.3079281554
161	0.3032787089
162	0.3002985533
163	0.2980598086
164	0.2947384166
165	0.2920314451
166	0.287808622
167	0.2836130986
168	0.2795096884
169	0.2755525965
170	0.2726970647
171	0.2687534877
172	0.2649158296
173	0.2616892704
174	0.2581425673
175	0.2552005275
176	0.2524460358
177	0.2490010164
178	0.2466685392
179	0.243513769
180	0.2404314314
181	0.2371665072
182	0.2341018573
183	0.2310049874
184	0.2280917836
185	0.2252031391
186	0.2227855864
187	0.2200291432
188	0.2173522534
189	0.2157392645
190	0.213099058
191	0.2103958234
192	0.2079177753
193	0.2053164528
194	0.2031463
195	0.2013073357
196	0.1990439486
197	0.1968734637
198	0.1949017168
199	0.1928999505
200	0.1906895436
201	0.1885419158
202	0.1864824152
203	0.1843682114
204	0.1824354937
205	0.1805434039
206	0.178661279
207	0.1770418543
208	0.1751946482
209	0.1733691884
210	0.1714630023
211	0.1695710059
212	0.1677763958
213	0.1660519555
214	0.1643197611
215	0.1626774172
216	0.1614448184
217	0.1598532333
218	0.1584945575
219	0.1570070332
220	0.1555834297
221	0.1540085358
222	0.1525322116
223	0.151287219
224	0.1497950028
225	0.1484199576
226	0.147060742
227	0.1459057451
228	0.1447944485
229	0.1434431426
230	0.1422090907
231	0.1412789273
232	0.1401044469
233	0.139077354
234	0.1381062826
235	0.1368857144
236	0.1358474731
237	0.1346760653
238	0.1337004266
239	0.1329622437
240	0.1319014569
241	0.1307783789
242	0.1296368865
243	0.1287262586
244	0.1276074053
245	0.1265279134
246	0.1257017382
247	0.1246384497
248	0.1235829671
249	0.122673398
250	0.121687265
251	0.1207623748
252	0.1197748301
253	0.1188709493
254	0.1182092887
255	0.1174325852
256	0.1164966505
257	0.115938947
258	0.1151439952
259	0.1143520225
260	0.1135108377
261	0.1129622479
262	0.112268357
263	0.1114186605
264	0.1107954376
265	0.1100099421
266	0.1091868394
267	0.108381331
268	0.107758378
269	0.1069557138
270	0.1062897974
271	0.1055448675
272	0.1048197325
273	0.1042048033
274	0.1035213756
275	0.1029244974
276	0.1021867609
277	0.1014778293
278	0.1010127061
279	0.1005303415
280	0.09982948563
281	0.09920661563
282	0.0986052844
283	0.09796148806
284	0.0973414726
285	0.09678289712
286	0.09618151399
287	0.09563577873
288	0.09509237899
289	0.09460564438
290	0.09398221386
291	0.09338008336
292	0.09277681104
293	0.09235764069
294	0.09176214309
295	0.0911821015
296	0.09063897165
297	0.09008075948
298	0.08953455711
299	0.08896004813
