iter	Passed	Remaining
0	2351	703156
1	4870	725715
2	7286	721331
3	9361	692756
4	11545	681167
5	13868	679532
6	16109	674304
7	16400	598614
8	18502	598231
9	20704	600432
10	21983	577562
11	23349	560384
12	24521	541367
13	25729	525611
14	26868	510510
15	28066	498187
16	29358	488733
17	30545	478541
18	31672	468418
19	32858	460014
20	34056	452471
21	35350	446699
22	36564	440360
23	37666	433165
24	38901	427911
25	40227	423940
26	41467	419287
27	42810	415875
28	43910	410333
29	45162	406465
30	46269	401495
31	47480	397651
32	48631	393469
33	49759	389293
34	50986	386039
35	52310	383611
36	53699	381702
37	54870	378318
38	56120	375577
39	57302	372469
40	58581	370065
41	59762	367114
42	61221	365902
43	62446	363324
44	63663	360758
45	64783	357718
46	66084	355730
47	67294	353296
48	68671	351763
49	69999	349995
50	71160	347433
51	72377	345183
52	73698	343464
53	74847	340971
54	75974	338433
55	77205	336394
56	78287	333752
57	79457	331530
58	80852	330260
59	82014	328056
60	83185	325922
61	84357	323823
62	85566	321893
63	86768	319960
64	88086	318467
65	89299	316607
66	90462	314591
67	91829	313302
68	93047	311506
69	94314	309890
70	95531	308122
71	96753	306386
72	97958	304611
73	99170	302871
74	100309	300929
75	101463	299050
76	102571	297059
77	103823	295497
78	104905	293470
79	106044	291622
80	107216	289881
81	108348	288047
82	109388	285990
83	110440	283988
84	111583	282239
85	112672	280369
86	113740	278469
87	114734	276405
88	115889	274750
89	117014	273034
90	118186	271440
91	119468	270101
92	120579	268386
93	121681	266663
94	122693	264759
95	123813	263103
96	124957	261508
97	126054	259826
98	127271	258399
99	128368	256737
100	129608	255367
101	130800	253906
102	131831	252142
103	132886	250440
104	134008	248873
105	135097	247253
106	136257	245773
107	137402	244271
108	138523	242734
109	139637	241191
110	140720	239604
111	141960	238290
112	143064	236753
113	144081	235080
114	145187	233562
115	146275	232022
116	147389	230532
117	148480	229012
118	149579	227510
119	150720	226080
120	151788	224547
121	152824	222973
122	154179	221868
123	155221	220314
124	156244	218742
125	157280	217196
126	158421	215802
127	159530	214369
128	160651	212956
129	161758	211529
130	162907	210163
131	163986	208710
132	165037	207227
133	166128	205801
134	167266	204437
135	168256	202897
136	169401	201550
137	170601	200271
138	171636	198802
139	172838	197530
140	173865	196061
141	174935	194646
142	175934	193158
143	177057	191811
144	178079	190360
145	179224	189045
146	180294	187653
147	181349	186251
148	182376	184824
149	183508	183508
150	184583	182138
151	185607	180722
152	186785	179460
153	187802	178046
154	188919	176730
155	189980	175366
156	191032	173997
157	192162	172703
158	193231	171356
159	194304	170016
160	195424	168720
161	196550	167432
162	197548	166037
163	198609	164700
164	199721	163408
165	200809	162099
166	201853	160757
167	203032	159525
168	204103	158210
169	205305	156998
170	206503	155783
171	207717	154580
172	209012	153436
173	210072	152121
174	211244	150889
175	212331	149597
176	213394	148290
177	214713	147163
178	215769	145855
179	216833	144555
180	217952	143294
181	219106	142058
182	220074	140703
183	221336	139537
184	222352	138219
185	223343	136887
186	224533	135680
187	225683	134449
188	226726	133157
189	227776	131870
190	228884	130619
191	230146	129457
192	231198	128177
193	232635	127110
194	233656	125815
195	234712	124541
196	235845	123309
197	236909	122044
198	238073	120831
199	239160	119580
200	240221	118318
201	241366	117098
202	242416	115834
203	243511	114593
204	244680	113388
205	245747	112137
206	247004	110973
207	248080	109728
208	249226	108514
209	250407	107317
210	251572	106113
211	252702	104895
212	254035	103760
213	255194	102554
214	256415	101373
215	257502	100139
216	258543	98889
217	259799	97722
218	260889	96493
219	262017	95278
220	263075	94040
221	264107	92794
222	265376	91632
223	266429	90395
224	267664	89221
225	268782	88008
226	269935	86807
227	271044	85593
228	272124	84370
229	273271	83169
230	274357	81951
231	275401	80720
232	276498	79508
233	277654	78312
234	278702	77087
235	279852	75892
236	280924	74676
237	281957	73451
238	283038	72239
239	284127	71031
240	285201	69821
241	286280	68612
242	287360	67405
243	288501	66213
244	289759	65047
245	290866	63848
246	291936	62642
247	293004	61436
248	294222	60262
249	295334	59066
250	296355	57854
251	297682	56701
252	298786	55505
253	299939	54319
254	300992	53116
255	302029	51911
256	303261	50740
257	304403	49554
258	305618	48379
259	306708	47185
260	307860	46002
261	308888	44800
262	309877	43594
263	310984	42406
264	312526	41277
265	315200	40288
266	317777	39275
267	320453	38263
268	323116	37236
269	325599	36177
270	326600	34949
271	327773	33741
272	328874	32526
273	329953	31309
274	330956	30086
275	332438	28907
276	334627	27784
277	337035	26671
278	338844	25504
279	340706	24336
280	342463	23155
281	344300	21976
282	346062	20788
283	347769	19592
284	350096	18426
285	352778	17268
286	355359	16096
287	357800	14908
288	360203	13710
289	362624	12504
290	365179	11294
291	367665	10073
292	370408	8849
293	372213	7596
294	373330	6327
295	374629	5062
296	375756	3795
297	376982	2530
298	378141	1264
299	379334	0
